# Matter power spectrum P(k) at redshift z=4
# for k=1.05583e-05 to 105.69 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055825013550e-05       2.525435702163e+00 
       1.329204939967e-05       3.152360384203e+00 
       1.673369876406e-05       3.934913046370e+00 
       2.106647860739e-05       4.911724492092e+00 
       2.652112525586e-05       6.131012314965e+00 
       3.338811853397e-05       7.652957894051e+00 
       4.203315087442e-05       9.552670117747e+00 
       5.291660177358e-05       1.192387953984e+01 
       6.661805467855e-05       1.488353768717e+01 
       8.386716191912e-05       1.857753535894e+01 
       1.055825013550e-04       2.318779575522e+01 
       1.329204939967e-04       2.894103987555e+01 
       1.673369876406e-04       3.611955450490e+01 
       2.106647860739e-04       4.507429422404e+01 
       2.652112525586e-04       5.624057865310e+01 
       3.338811853397e-04       7.015642611041e+01 
       4.203315087442e-04       8.748306810352e+01 
       5.291660177358e-04       1.090262262089e+02 
       6.661805467855e-04       1.357551319543e+02 
       8.386716191912e-04       1.688141049463e+02 
       1.055825013550e-03       2.095196201236e+02 
       1.329204939967e-03       2.593344023953e+02 
       1.673369876406e-03       3.198083895774e+02 
       2.106647860739e-03       3.924999722245e+02 
       2.652112525586e-03       4.787526880548e+02 
       3.338811853397e-03       5.793535410206e+02 
       4.203315087442e-03       6.940840902908e+02 
       5.291660177358e-03       8.210932651796e+02 
       6.661805467855e-03       9.560974821112e+02 
       8.386716191912e-03       1.091469885291e+03 
       1.055825013550e-02       1.215286491272e+03 
       1.329204939967e-02       1.310535271182e+03 
       1.673369876401e-02       1.355925571924e+03 
       2.106647832521e-02       1.329699750071e+03 
       2.652093720756e-02       1.220395284182e+03 
       3.336476225328e-02       1.044513525131e+03 
       4.132876331327e-02       8.658645329170e+02 
       4.786333859770e-02       7.631751966835e+02 
       5.263786138157e-02       7.104547735165e+02 
       5.660399909917e-02       6.764275670616e+02 
       6.015891045584e-02       6.502185200739e+02 
       6.348193975586e-02       6.271406430693e+02 
       6.666896154422e-02       6.047804094139e+02 
       6.977787413653e-02       5.818236643238e+02 
       7.284691362574e-02       5.576181681323e+02 
       7.590314258047e-02       5.319767833988e+02 
       7.896682294762e-02       5.050662433752e+02 
       8.205385790546e-02       4.773231283552e+02 
       8.517724439441e-02       4.493712271952e+02 
       8.834798208872e-02       4.219385998762e+02 
       9.157566623284e-02       3.957709184051e+02 
       9.486888769795e-02       3.715453402522e+02 
       9.823551066211e-02       3.497994961834e+02 
       1.016828698649e-01       3.308710189684e+02 
       1.052179133776e-01       3.148602755157e+02 
       1.088473074605e-01       3.016099260489e+02 
       1.125775144108e-01       2.907119670002e+02 
       1.164148507727e-01       2.815304850004e+02 
       1.203655310360e-01       2.732592952171e+02 
       1.244357004822e-01       2.650182891279e+02 
       1.286314598825e-01       2.559889564169e+02 
       1.329588841053e-01       2.455727612024e+02 
       1.374240362707e-01       2.335318517992e+02 
       1.420329788040e-01       2.200642913534e+02 
       1.467917825545e-01       2.057751210861e+02 
       1.517065350254e-01       1.915382739555e+02 
       1.567833486852e-01       1.782887905994e+02 
       1.620283702805e-01       1.667817258971e+02 
       1.674477920432e-01       1.573976062016e+02 
       1.730478656632e-01       1.500535278371e+02 
       1.788349198874e-01       1.442024371149e+02 
       1.848153825956e-01       1.390447526706e+02 
       1.909958082005e-01       1.336134051482e+02 
       1.973829112238e-01       1.271867809849e+02 
       2.039836069119e-01       1.196247511541e+02 
       2.108050597927e-01       1.114093749144e+02 
       2.178547411308e-01       1.033578763149e+02 
       2.251404963408e-01       9.622370312548e+01 
       2.326706235702e-01       9.042999497445e+01 
       2.404539648816e-01       8.589086042930e+01 
       2.485000117768e-01       8.202445899331e+01 
       2.568190272299e-01       7.809431019817e+01 
       2.654221869677e-01       7.364223068322e+01 
       2.743217435010e-01       6.870987916868e+01 
       2.835312174188e-01       6.380233419288e+01 
       2.930656217921e-01       5.949721899116e+01 
       3.029417273049e-01       5.597181401529e+01 
       3.131783780839e-01       5.295694695959e+01 
       3.237968713704e-01       4.998438761656e+01 
       3.348214184703e-01       4.678022506786e+01 
       3.462797103251e-01       4.350298092687e+01 
       3.582036192599e-01       4.048632764277e+01 
       3.706300800709e-01       3.789738043220e+01 
       3.836022102606e-01       3.554796623852e+01 
       3.971707535380e-01       3.319295308935e+01 
       4.113959668400e-01       3.081016638602e+01 
       4.263501259916e-01       2.857729972569e+01 
       4.421209102537e-01       2.656374873987e+01 
       4.588160614163e-01       2.465703575794e+01 
       4.765699344283e-01       2.276171818707e+01 
       4.955529295309e-01       2.095044193034e+01 
       5.159854462318e-01       1.926768555117e+01 
       5.381591781551e-01       1.762750461187e+01 
       5.624707995311e-01       1.603441482152e+01 
       5.894775350585e-01       1.450977300726e+01 
       6.199934557371e-01       1.300974982503e+01 
       6.552663243720e-01       1.153871850944e+01 
       6.973252581956e-01       1.006954865830e+01 
       7.497191308563e-01       8.583122756726e+00 
       8.192099334470e-01       7.045942623626e+00 
       9.197639947182e-01       5.429101544820e+00 
       1.079599244655e+00       3.765554826031e+00 
       1.332318999171e+00       2.309841363294e+00 
       1.675102486433e+00       1.343553108575e+00 
       2.108791753286e+00       7.718456956155e-01 
       2.654811403722e+00       4.396368874574e-01 
       3.342209539611e+00       2.484977618083e-01 
       4.207592520958e+00       1.394831578880e-01 
       5.297045147109e+00       7.779774883108e-02 
       6.668584743116e+00       4.314098823423e-02 
       8.395250793812e+00       2.379654557325e-02 
       1.056899456272e+01       1.306247772017e-02 
       1.330557583212e+01       7.137976113172e-03 
       1.675072753361e+01       3.884362606255e-03 
       2.108791655810e+01       2.105578156555e-03 
       2.654811403678e+01       1.137206550125e-03 
       3.342209539611e+01       6.120439002916e-04 
       4.207592520958e+01       3.282796359803e-04 
       5.297045147109e+01       1.754750869019e-04 
       6.668584743116e+01       9.345976974212e-05 
       8.395250793812e+01       4.958011145736e-05 
       1.056899456272e+02       2.617925221305e-05 
