# Matter power spectrum P(k) at redshift z=5
# for k=1.05583e-05 to 105.69 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055825013550e-05       1.756488234858e+00 
       1.329204939967e-05       2.192526307298e+00 
       1.673369876406e-05       2.736806726493e+00 
       2.106647860739e-05       3.416198082324e+00 
       2.652112525586e-05       4.264236920091e+00 
       3.338811853397e-05       5.322781092127e+00 
       4.203315087442e-05       6.644071401736e+00 
       5.291660177358e-05       8.293301476674e+00 
       6.661805467855e-05       1.035181779373e+01 
       8.386716191912e-05       1.292109896019e+01 
       1.055825013550e-04       1.612769344346e+01 
       1.329204939967e-04       2.012932420949e+01 
       1.673369876406e-04       2.512239421278e+01 
       2.106647860739e-04       3.135112981401e+01 
       2.652112525586e-04       3.911855693969e+01 
       3.338811853397e-04       4.879935908956e+01 
       4.203315087442e-04       6.085433209265e+01 
       5.291660177358e-04       7.584547883645e+01 
       6.661805467855e-04       9.444962807406e+01 
       8.386716191912e-04       1.174667698156e+02 
       1.055825013550e-03       1.458175591953e+02 
       1.329204939967e-03       1.805230147243e+02 
       1.673369876406e-03       2.226594271883e+02 
       2.106647860739e-03       2.733034467133e+02 
       2.652112525586e-03       3.333877512268e+02 
       3.338811853397e-03       4.034657145227e+02 
       4.203315087442e-03       4.833823328952e+02 
       5.291660177358e-03       5.717981509019e+02 
       6.661805467855e-03       6.658102656628e+02 
       8.386716191912e-03       7.600727111484e+02 
       1.055825013550e-02       8.462703584257e+02 
       1.329204939967e-02       9.126097392590e+02 
       1.673369876401e-02       9.442374291503e+02 
       2.106647832521e-02       9.260395784663e+02 
       2.652093720756e-02       8.500468800497e+02 
       3.336476225328e-02       7.277355653349e+02 
       4.132876331327e-02       6.035153602483e+02 
       4.786333859770e-02       5.321770156324e+02 
       5.263786138157e-02       4.956167968662e+02 
       5.660399909917e-02       4.720678345281e+02 
       6.015891045584e-02       4.539591814478e+02 
       6.348193975586e-02       4.380245457508e+02 
       6.666896154422e-02       4.225789370345e+02 
       6.977787413653e-02       4.067023690782e+02 
       7.284691362574e-02       3.899362817722e+02 
       7.590314258047e-02       3.721472789379e+02 
       7.896682294762e-02       3.534504329758e+02 
       8.205385790546e-02       3.341510557422e+02 
       8.517724439441e-02       3.146872010358e+02 
       8.834798208872e-02       2.955714962791e+02 
       9.157566623284e-02       2.773301350902e+02 
       9.486888769795e-02       2.604420590370e+02 
       9.823551066211e-02       2.452886962939e+02 
       1.016828698649e-01       2.321112393642e+02 
       1.052179133776e-01       2.209840712209e+02 
       1.088473074605e-01       2.118001060050e+02 
       1.125775144108e-01       2.042751461401e+02 
       1.164148507727e-01       1.979630646111e+02 
       1.203655310360e-01       1.922953579036e+02 
       1.244357004822e-01       1.866482973456e+02 
       1.286314598825e-01       1.804384625438e+02 
       1.329588841053e-01       1.732358223096e+02 
       1.374240362707e-01       1.648656044511e+02 
       1.420329788040e-01       1.554643061397e+02 
       1.467917825545e-01       1.454608684917e+02 
       1.517065350254e-01       1.354789592006e+02 
       1.567833486852e-01       1.261881755620e+02 
       1.620283702805e-01       1.181311026205e+02 
       1.674477920432e-01       1.115837587449e+02 
       1.730478656632e-01       1.064913149160e+02 
       1.788349198874e-01       1.024658473880e+02 
       1.848153825956e-01       9.893553891824e+01 
       1.909958082005e-01       9.520307228050e+01 
       1.973829112238e-01       9.074312272908e+01 
       2.039836069119e-01       8.544879758257e+01 
       2.108050597927e-01       7.966618259002e+01 
       2.178547411308e-01       7.398791271191e+01 
       2.251404963408e-01       6.896297261339e+01 
       2.326706235702e-01       6.490204818175e+01 
       2.404539648816e-01       6.174657880306e+01 
       2.485000117768e-01       5.907535177029e+01 
       2.568190272299e-01       5.635005099100e+01 
       2.654221869677e-01       5.323202676650e+01 
       2.743217435010e-01       4.974897736268e+01 
       2.835312174188e-01       4.627198876594e+01 
       2.930656217921e-01       4.322836327028e+01 
       3.029417273049e-01       4.075153346492e+01 
       3.131783780839e-01       3.864477602626e+01 
       3.237968713704e-01       3.656143876286e+01 
       3.348214184703e-01       3.429651560265e+01 
       3.462797103251e-01       3.196721356268e+01 
       3.582036192599e-01       2.982335581595e+01 
       3.706300800709e-01       2.799163367623e+01 
       3.836022102606e-01       2.633224171324e+01 
       3.971707535380e-01       2.466090629218e+01 
       4.113959668400e-01       2.296049497456e+01 
       4.263501259916e-01       2.136573923132e+01 
       4.421209102537e-01       1.993022918925e+01 
       4.588160614163e-01       1.856917828437e+01 
       4.765699344283e-01       1.720989579218e+01 
